MARKET_NAME,MARKET_TERM,TIME_OF_USE,START_DATE,END_DATE,START_DATE_GMT,END_DATE_GMT,APNODE_ID,APNODE_ID_PRICE,XML_DATA_ITEM
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,AQUAWS_2_AQWSR1-APND,-739.04,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,ARLNG1MV_7_N002,126.85,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,ARLNG2MV_7_N001,126.85,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,ATHOS_5_AP1X2-APND,196.76,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,ATHOS_5_AP2X2-APND,196.76,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,ATWELL_1_N001,-256.29,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,AVENAL_6_GN001,-448.36,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,AVENAL_6_GN002,-448.36,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,AVENAL_6_GN003,-448.36,LT_OFF_PRC
AUC_MN_2025_M02_TC,Monthly,OFF,2025-02-01T00:00:00,2025-02-28T23:59:59,2025-02-01T08:00:00-00:00,2025-03-01T07:59:59-00:00,AVENGEN_7_N001,-409.76,LT_OFF_PRC
