MARKET_NAME,MARKET_TERM,TIME_OF_USE,START_DATE,END_DATE,START_DATE_GMT,END_DATE_GMT,APNODE_ID,APNODE_ID_PRICE,XML_DATA_ITEM
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,0096WD_7_N001,-4.43,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,2PBLSM34_7_N001,-37.57,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AGUCALG1_7_B1,99.02,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AKINGS02_7_N001,145.18,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALAMIT_7_NBT2,-46,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALAMOSC_7_N001,-95.6,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALAMT3G_7_B1,-46,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALAMT4G_7_B1,-46,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALASB1_7_NSB1,-48.53,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALASB2_7_NSB2,-44.07,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALLEGHNY_6_N002,287.82,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMASL3_7_N001,-6.32,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMASL3_7_N002,-6.32,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMASL_7_GUB6N,-6.32,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMASL_7_GUS6N,-6.32,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMASL_7_GUS7N,-6.32,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMDACT1_7_B1,-686.93,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMDACT2_7_B1,-686.93,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALMERGB2_7_N001,-46,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALPAUGH_7_N001,144.93,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALTAD1_7_N006,-34.6,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALTAD2_7_N006,-34.6,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALTAPES_7_N001,-34.54,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALTWD1_7_N003,-0.24,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ALTWD1_7_N004,-0.24,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AMARGOSA_1_SN001,-32.92,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,APLHILGN_7_N002,-458.45,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AQUAWS_2_AQWSR1-APND,79.67,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ARLNG1MV_7_N002,-5.1,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ARLNG2MV_7_N001,-5.1,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ATHOS_5_AP1X2-APND,-6.32,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ATHOS_5_AP2X2-APND,-6.32,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,ATWELL_1_N001,45.88,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AVENAL_6_GN001,2914.48,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AVENAL_6_GN002,2914.48,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AVENAL_6_GN003,2914.48,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AVENGEN_7_N001,2914.48,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AVENGEN_7_N002,2914.48,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AVLYSLR_7_N005,5.31,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,AVSOLAR_7_N008,-34.12,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BARPKGEN_7_B1,-48.53,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BARRE_2_N043,-48.53,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BARRE_6_N001,-48.53,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BCKSCRK_2_N004,129.98,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BCKSCRK_7_N002,217.04,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BCRK1-2_1_N003,32.39,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BCRK1-2_1_N004,230.06,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BEARCRK_6_N001,-369.39,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BEARDSLY_7_B1,10406.49,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BELDEN_7_B1,129.98,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BERCYN_7_N001,-1124.63,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BESSGEN_7_N001,-144.7,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BESSGEN_7_N002,-144.7,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BESSGEN_7_N003,-144.7,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BIGSK230_2_N025,-43.63,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BIGSKGN1134_7_N026,-43.63,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BIGSKGN5_7_N001,-43.63,LT_OFF_PRC
AUC_MN_2025_M05_TC,Monthly,OFF,2025-05-01T00:00:00,2025-05-31T23:59:59,2025-05-01T07:00:00-00:00,2025-06-01T06:59:59-00:00,BIOMSJCT_6_GN001,2236.04,LT_OFF_PRC
